kias |keas |ktas |ktgs |mph |mphas |mphgs |a|b|c|
     -6.37250 |       4.93123 |       4.95912 |       9.30087 |      -7.33334 |       5.70685 |      10.70928 |       0.67059 |      14.89889 |      14.90631 | 
     -6.20275 |       4.85879 |       4.88627 |       9.46666 |      -7.13800 |       5.62302 |      10.90011 |       0.67059 |      14.89889 |      14.90631 | 
     -6.02663 |       4.79013 |       4.81722 |       9.63641 |      -6.93533 |       5.54356 |      11.09544 |       0.67059 |      14.89889 |      14.90631 | 
     -5.84996 |       4.72926 |       4.75600 |       9.80555 |      -6.73201 |       5.47311 |      11.29012 |       0.67059 |      14.89889 |      14.90631 | 
     -5.67262 |       4.67660 |       4.70305 |       9.97280 |      -6.52794 |       5.41217 |      11.48265 |       0.67059 |      14.89889 |      14.90631 | 
     -5.49478 |       4.63311 |       4.65932 |      10.13859 |      -6.32329 |       5.36184 |      11.67356 |       0.67059 |      14.89889 |      14.90631 | 
     -5.31846 |       4.59998 |       4.62600 |      10.30198 |      -6.12037 |       5.32351 |      11.86177 |       0.67059 |      14.89889 |      14.90631 | 
     -5.13976 |       4.57661 |       4.60250 |      10.46665 |      -5.91473 |       5.29646 |      12.05150 |       0.67059 |      14.89889 |      14.90631 | 
     -4.96049 |       4.56056 |       4.58636 |      10.63103 |      -5.70843 |       5.27789 |      12.24088 |       0.67059 |      14.89889 |      14.90631 | 
     -4.78084 |       4.55342 |       4.57919 |      10.79571 |      -5.50169 |       5.26964 |      12.43056 |       0.67059 |      14.89889 |      14.90631 | 
     -4.60074 |       4.55537 |       4.58115 |      10.95889 |      -5.29443 |       5.27189 |      12.61845 |       0.67059 |      14.89889 |      14.90631 | 
     -4.42011 |       4.56731 |       4.59316 |      11.12127 |      -5.08657 |       5.28571 |      12.80541 |       0.67059 |      14.89889 |      14.90631 | 
     -4.23910 |       4.58886 |       4.61484 |      11.28359 |      -4.87827 |       5.31066 |      12.99229 |       0.67059 |      14.89889 |      14.90631 | 
     -4.05753 |       4.62049 |       4.64664 |      11.44401 |      -4.66933 |       5.34726 |      13.17700 |       0.67059 |      14.89889 |      14.90631 | 
     -3.87575 |       4.66099 |       4.68737 |      11.60223 |      -4.46014 |       5.39413 |      13.35921 |       0.67059 |      14.89889 |      14.90631 | 
     -3.69180 |       4.71065 |       4.73732 |      11.75805 |      -4.24845 |       5.45161 |      13.53868 |       0.67059 |      14.89889 |      14.90631 | 
     -3.50670 |       4.76840 |       4.79539 |      11.91462 |      -4.03543 |       5.51844 |      13.71900 |       0.67059 |      14.89889 |      14.90631 | 
     -3.32242 |       4.83299 |       4.86035 |      12.07104 |      -3.82337 |       5.59319 |      13.89919 |       0.67059 |      14.89692 |      14.90631 | 
     -3.14059 |       4.89098 |       4.91867 |      12.22564 |      -3.61413 |       5.66031 |      14.07731 |       0.67059 |      14.89692 |      14.90631 | 
     -2.95876 |       4.94656 |       4.97458 |      12.38053 |      -3.40488 |       5.72464 |      14.25577 |       0.67059 |      14.89692 |      14.90631 | 
     -2.77698 |       4.98667 |       5.01491 |      12.53437 |      -3.19569 |       5.77106 |      14.43301 |       0.67059 |      14.89692 |      14.90631 | 
     -2.59507 |       5.03246 |       5.06097 |      12.68403 |      -2.98635 |       5.82406 |      14.60543 |       0.67059 |      14.89692 |      14.90631 | 
     -2.41331 |       5.08968 |       5.11851 |      12.83389 |      -2.77719 |       5.89028 |      14.77805 |       0.67059 |      14.89692 |      14.90631 | 
     -2.23158 |       5.15134 |       5.18053 |      12.98479 |      -2.56805 |       5.96164 |      14.95183 |       0.67059 |      14.89692 |      14.90631 | 
     -2.05027 |       5.21610 |       5.24565 |      13.13336 |      -2.35941 |       6.03659 |      15.12291 |       0.67059 |      14.89692 |      14.90631 | 
     -1.86920 |       5.28407 |       5.31401 |      13.28158 |      -2.15104 |       6.11525 |      15.29358 |       0.67059 |      14.89692 |      14.90631 | 
     -1.68841 |       5.35501 |       5.38536 |      13.42985 |      -1.94299 |       6.19736 |      15.46429 |       0.67059 |      14.89692 |      14.90631 | 
     -1.50812 |       5.41765 |       5.44836 |      13.57708 |      -1.73551 |       6.26986 |      15.63382 |       0.67059 |      14.89692 |      14.90631 | 
     -1.32860 |       5.48512 |       5.51621 |      13.72555 |      -1.52892 |       6.34794 |      15.80484 |       0.67059 |      14.89692 |      14.90631 | 
     -1.15015 |       5.54745 |       5.57890 |      13.87135 |      -1.32357 |       6.42008 |      15.97275 |       0.67059 |      14.89692 |      14.90631 | 
     -0.97297 |       5.60481 |       5.63659 |      14.01728 |      -1.11968 |       6.48647 |      16.14070 |       0.67059 |      14.89692 |      14.90631 | 
     -0.79699 |       5.65879 |       5.69087 |      14.16520 |      -0.91716 |       6.54894 |      16.31082 |       0.67059 |      14.89692 |      14.90631 | 
     -0.62226 |       5.70944 |       5.74181 |      14.31257 |      -0.71608 |       6.60756 |      16.48032 |       0.67059 |      14.89692 |      14.90631 | 
     -0.44898 |       5.74511 |       5.77769 |      14.45643 |      -0.51668 |       6.64885 |      16.64587 |       0.67059 |      14.89692 |      14.90631 | 
     -0.27728 |       5.78330 |       5.81611 |      14.60014 |      -0.31909 |       6.69306 |      16.81133 |       0.67059 |      14.89692 |      14.90631 | 
     -0.10750 |       5.81950 |       5.85251 |      14.74473 |      -0.12371 |       6.73495 |      16.97788 |       0.67059 |      14.89692 |      14.90631 | 
      0.06048 |       5.85186 |       5.88506 |      14.88755 |       0.06960 |       6.77241 |      17.14238 |       0.67059 |      14.89692 |      14.90631 | 
      0.22640 |       5.88318 |       5.91656 |      15.03112 |       0.26054 |       6.80866 |      17.30777 |       0.67059 |      14.89496 |      14.90631 | 
      0.39005 |       5.91372 |       5.94727 |      15.17349 |       0.44886 |       6.84400 |      17.47147 |       0.67059 |      14.89496 |      14.90631 | 
      0.55161 |       5.95531 |       5.98911 |      15.31817 |       0.63478 |       6.89214 |      17.63791 |       0.67059 |      14.89496 |      14.90631 | 
      0.71085 |       6.01084 |       6.04496 |      15.46599 |       0.81803 |       6.95642 |      17.80802 |       0.67059 |      14.89496 |      14.90631 | 
      0.86782 |       6.08184 |       6.11637 |      15.61674 |       0.99867 |       7.03859 |      17.98162 |       0.67843 |      14.89496 |      14.90631 | 
      1.02257 |       6.16059 |       6.19556 |      15.76972 |       1.17675 |       7.12972 |      18.15782 |       0.67843 |      14.89496 |      14.90631 | 
      1.17537 |       6.24041 |       6.27585 |      15.92331 |       1.35259 |       7.22211 |      18.33454 |       0.67843 |      14.89496 |      14.90631 | 
      1.32639 |       6.31270 |       6.34854 |      16.07737 |       1.52638 |       7.30578 |      18.51179 |       0.67843 |      14.89496 |      14.90631 | 
      1.47584 |       6.38276 |       6.41901 |      16.23155 |       1.69837 |       7.38686 |      18.68920 |       0.67843 |      14.89496 |      14.90631 | 
      1.62401 |       6.45355 |       6.49021 |      16.38648 |       1.86887 |       7.46880 |      18.86745 |       0.67843 |      14.89496 |      14.90631 | 
      1.77108 |       6.52687 |       6.56395 |      16.54067 |       2.03812 |       7.55366 |      19.04505 |       0.67843 |      14.89496 |      14.90631 | 
      1.91726 |       6.60347 |       6.64099 |      16.69304 |       2.20635 |       7.64231 |      19.22060 |       0.67843 |      14.89496 |      14.90631 | 
      2.06274 |       6.68594 |       6.72392 |      16.84534 |       2.37376 |       7.73775 |      19.39605 |       0.67843 |      14.89496 |      14.90631 | 
      2.20763 |       6.77563 |       6.81413 |      16.99766 |       2.54050 |       7.84157 |      19.57125 |       0.67843 |      14.89496 |      14.90631 | 
      2.35213 |       6.87346 |       6.91252 |      17.14976 |       2.70678 |       7.95479 |      19.74618 |       0.67843 |      14.89496 |      14.90631 | 
      2.49639 |       6.97824 |       7.01791 |      17.29981 |       2.87280 |       8.07606 |      19.91883 |       0.67843 |      14.89496 |      14.90631 | 
      2.64053 |       7.09230 |       7.13262 |      17.45301 |       3.03867 |       8.20807 |      20.09532 |       0.67843 |      14.89496 |      14.90631 | 
      2.78458 |       7.21445 |       7.25547 |      17.60854 |       3.20444 |       8.34944 |      20.27450 |       0.67843 |      14.89496 |      14.90631 | 
      2.92872 |       7.34279 |       7.38454 |      17.76180 |       3.37031 |       8.49798 |      20.45108 |       0.68627 |      14.89496 |      14.90631 | 
      3.07314 |       7.47756 |       7.52008 |      17.91453 |       3.53651 |       8.65395 |      20.62704 |       0.71373 |      14.89496 |      14.90631 | 
      3.21796 |       7.61850 |       7.66183 |      18.06617 |       3.70317 |       8.81707 |      20.80182 |       0.74902 |      14.89291 |      14.90631 | 
      3.36334 |       7.76751 |       7.81169 |      18.22125 |       3.87046 |       8.98954 |      20.98063 |       0.84952 |      14.89291 |      14.90631 | 
      3.50944 |       7.92658 |       7.97168 |      18.38193 |       4.03859 |       9.17365 |      21.16583 |       0.95002 |      14.89291 |      14.90631 | 
      3.65651 |       8.09742 |       8.14349 |      18.54976 |       4.20783 |       9.37136 |      21.35927 |       1.00000 |      14.89291 |      14.90631 | 
      3.80476 |       8.28304 |       8.33018 |      18.72879 |       4.37844 |       9.58620 |      21.56557 |       1.00000 |      14.89291 |      14.90631 | 
      3.95447 |       8.47981 |       8.52807 |      18.91597 |       4.55072 |       9.81393 |      21.78113 |       1.00000 |      14.89291 |      14.90631 | 
      4.10596 |       8.68881 |       8.73827 |      19.11190 |       4.72505 |      10.05582 |      22.00678 |       1.00000 |      14.89291 |      14.90631 | 
      4.25953 |       8.90814 |       8.95885 |      19.31388 |       4.90178 |      10.30967 |      22.23936 |       1.00000 |      14.89291 |      14.90631 | 
      4.41567 |       9.13474 |       9.18675 |      19.52058 |       5.08146 |      10.57192 |      22.47743 |       1.00000 |      14.89291 |      14.90631 | 
      4.57468 |       9.36951 |       9.42286 |      19.73687 |       5.26445 |      10.84364 |      22.72658 |       1.00000 |      14.89291 |      14.90631 | 
      4.73687 |       9.60906 |       9.66379 |      19.95797 |       5.45109 |      11.12089 |      22.98136 |       1.00000 |      14.89291 |      14.90631 | 
      4.90246 |       9.84776 |       9.90386 |      20.18122 |       5.64165 |      11.39715 |      23.23853 |       1.00000 |      14.89291 |      14.90631 | 
      5.07178 |      10.08987 |      10.14736 |      20.40731 |       5.83650 |      11.67738 |      23.49895 |       1.00000 |      14.89291 |      14.90631 | 
      5.24508 |      10.33982 |      10.39874 |      20.63692 |       6.03594 |      11.96665 |      23.76353 |       1.00000 |      14.89291 |      14.90631 | 
      5.42246 |      10.58904 |      10.64939 |      20.86775 |       6.24005 |      12.25510 |      24.02958 |       1.00000 |      14.89291 |      14.90631 | 
      5.60393 |      10.82596 |      10.88767 |      21.09759 |       6.44889 |      12.52931 |      24.29434 |       1.00000 |      14.89291 |      14.90631 | 
      5.78956 |      11.05653 |      11.11957 |      21.32510 |       6.66251 |      12.79617 |      24.55639 |       1.00000 |      14.89291 |      14.90631 | 
      5.97931 |      11.28369 |      11.34803 |      21.54848 |       6.88087 |      13.05908 |      24.81354 |       1.00000 |      14.89291 |      14.90631 | 
      6.17297 |      11.51257 |      11.57823 |      21.77228 |       7.10373 |      13.32399 |      25.07088 |       1.00000 |      14.89291 |      14.90631 | 
      6.37024 |      11.73743 |      11.80438 |      21.99378 |       7.33074 |      13.58424 |      25.32550 |       1.00000 |      14.89291 |      14.90631 | 
      6.57091 |      11.96345 |      12.03171 |      22.21917 |       7.56167 |      13.84584 |      25.58475 |       1.00000 |      14.88954 |      14.90631 | 
      6.77478 |      12.18097 |      12.25047 |      22.44264 |       7.79627 |      14.09760 |      25.84193 |       1.00000 |      14.88954 |      14.90631 | 
      6.98151 |      12.37131 |      12.44192 |      22.65429 |       8.03418 |      14.31790 |      26.08562 |       1.00000 |      14.88954 |      14.90631 | 
      7.19057 |      12.55928 |      12.63097 |      22.86485 |       8.27476 |      14.53546 |      26.32797 |       1.00000 |      14.88954 |      14.90631 | 
      7.40152 |      12.75751 |      12.83034 |      23.08481 |       8.51752 |      14.76489 |      26.58118 |       1.00000 |      14.88954 |      14.90631 | 
      7.61402 |      12.95663 |      13.03061 |      23.30738 |       8.76206 |      14.99536 |      26.83739 |       1.00000 |      14.88954 |      14.90631 | 
      7.82774 |      13.16653 |      13.24172 |      23.53726 |       9.00800 |      15.23831 |      27.10205 |       1.00000 |      14.88954 |      14.90631 | 
      8.04241 |      13.36665 |      13.44300 |      23.76524 |       9.25504 |      15.46992 |      27.36486 |       1.00000 |      14.88954 |      14.90631 | 
      8.25784 |      13.56097 |      13.63844 |      23.99375 |       9.50296 |      15.69484 |      27.62835 |       1.00000 |      14.88954 |      14.90631 | 
      8.47371 |      13.75030 |      13.82887 |      24.22411 |       9.75137 |      15.91398 |      27.89364 |       1.00000 |      14.88954 |      14.90631 | 
      8.68978 |      13.93546 |      14.01510 |      24.45597 |      10.00002 |      16.12829 |      28.16036 |       1.00000 |      14.88954 |      14.90631 | 
      8.90591 |      14.11490 |      14.19558 |      24.68729 |      10.24874 |      16.33599 |      28.42628 |       1.00000 |      14.88954 |      14.90631 | 
      9.12187 |      14.29018 |      14.37188 |      24.91867 |      10.49726 |      16.53887 |      28.69248 |       1.00000 |      14.88954 |      14.90631 | 
      9.33742 |      14.46110 |      14.54379 |      25.14990 |      10.74531 |      16.73670 |      28.95848 |       1.00000 |      14.88954 |      14.90631 | 
      9.55242 |      14.62664 |      14.71029 |      25.37995 |      10.99273 |      16.92830 |      29.22336 |       1.00000 |      14.88954 |      14.90631 | 
      9.76675 |      14.79579 |      14.88043 |      25.61337 |      11.23937 |      17.12409 |      29.49212 |       1.00000 |      14.88954 |      14.90631 | 
      9.98022 |      14.95967 |      15.04526 |      25.84661 |      11.48504 |      17.31378 |      29.76046 |       1.00000 |      14.88954 |      14.90631 | 
     10.19281 |      15.13684 |      15.22346 |      26.08522 |      11.72967 |      17.51884 |      30.03492 |       1.00000 |      14.88954 |      14.90631 | 
     10.40448 |      15.32014 |      15.40783 |      26.32692 |      11.97326 |      17.73102 |      30.31318 |       1.00000 |      14.88954 |      14.90631 | 
     10.61530 |      15.50808 |      15.59686 |      26.56961 |      12.21588 |      17.94855 |      30.59286 |       1.00000 |      14.88954 |      14.90631 | 
     10.82535 |      15.69788 |      15.78776 |      26.81222 |      12.45760 |      18.16823 |      30.87239 |       1.00000 |      14.88785 |      14.90461 | 
     11.03477 |      15.88687 |      15.97785 |      27.05413 |      12.69859 |      18.38699 |      31.15093 |       1.00000 |      14.88785 |      14.90461 | 
     11.24368 |      16.07636 |      16.16845 |      27.29597 |      12.93900 |      18.60632 |      31.42922 |       1.00000 |      14.88785 |      14.90461 | 
     11.45224 |      16.26590 |      16.35909 |      27.53775 |      13.17900 |      18.82570 |      31.70762 |       1.00000 |      14.88785 |      14.90461 | 
     11.66062 |      16.45743 |      16.55173 |      27.78007 |      13.41880 |      19.04740 |      31.98689 |       1.00000 |      14.88785 |      14.90461 | 
     11.86896 |      16.65575 |      16.75121 |      28.02302 |      13.65856 |      19.27695 |      32.26677 |       1.00000 |      14.88785 |      14.90461 | 
     12.07750 |      16.85731 |      16.95395 |      28.26538 |      13.89854 |      19.51026 |      32.54560 |       1.00000 |      14.88785 |      14.90461 | 
     12.28642 |      17.06308 |      17.16092 |      28.50744 |      14.13897 |      19.74844 |      32.82425 |       1.00000 |      14.88785 |      14.90461 | 
