kias |keas |ktas |ktgs |mph |mphas |mphgs |a|b|c
     -6.81346 |      12.96276 |      13.03955 |       0.02797 |      -7.84079 |      15.00565 |       0.03223 |       0.00000 |      14.90631 |      14.90631 
     -7.18221 |      12.96758 |      13.04440 |       0.01885 |      -8.26514 |      15.01123 |       0.02173 |       0.00000 |      14.90631 |      14.90631 
     -7.53337 |      12.97157 |      13.04841 |       0.01276 |      -8.66925 |      15.01585 |       0.01471 |       0.00000 |      14.90512 |      14.90631 
     -7.86692 |      12.97460 |      13.05146 |       0.01124 |      -9.05309 |      15.01935 |       0.01295 |       0.00000 |      14.90512 |      14.90631 
     -8.18296 |      12.97679 |      13.05366 |       0.01293 |      -9.41679 |      15.02188 |       0.01491 |       0.00000 |      14.90512 |      14.90631 
     -8.48176 |      12.97815 |      13.05503 |       0.01522 |      -9.76063 |      15.02346 |       0.01754 |       0.00000 |      14.90512 |      14.90631 
     -8.76372 |      12.97854 |      13.05543 |       0.01641 |     -10.08511 |      15.02392 |       0.01891 |       0.00000 |      14.90512 |      14.90631 
     -9.02928 |      12.97809 |      13.05497 |       0.01624 |     -10.39071 |      15.02339 |       0.01871 |       0.00000 |      14.90512 |      14.90631 
     -9.27895 |      12.97710 |      13.05397 |       0.01512 |     -10.67803 |      15.02224 |       0.01742 |       0.00000 |      14.90512 |      14.90631 
     -9.51329 |      12.97564 |      13.05250 |       0.01354 |     -10.94770 |      15.02055 |       0.01560 |       0.00000 |      14.90512 |      14.90631 
     -9.73283 |      12.97325 |      13.05010 |       0.01115 |     -11.20034 |      15.01779 |       0.01285 |       0.00000 |      14.90512 |      14.90631 
     -9.93820 |      12.97094 |      13.04777 |       0.00881 |     -11.43668 |      15.01511 |       0.01015 |       0.00000 |      14.90512 |      14.90631 
    -10.13007 |      12.96831 |      13.04513 |       0.00607 |     -11.65748 |      15.01207 |       0.00700 |       0.00000 |      14.90512 |      14.90631 
    -10.30911 |      12.96539 |      13.04219 |       0.00336 |     -11.86351 |      15.00869 |       0.00387 |       0.00000 |      14.90512 |      14.90631 
    -10.47592 |      12.96263 |      13.03942 |       0.00274 |     -12.05548 |      15.00550 |       0.00316 |       0.00000 |      14.90512 |      14.90631 
    -10.63115 |      12.95982 |      13.03659 |       0.00478 |     -12.23411 |      15.00224 |       0.00551 |       0.00000 |      14.90512 |      14.90631 
    -10.77547 |      12.95763 |      13.03439 |       0.00694 |     -12.40019 |      14.99971 |       0.00800 |       0.00000 |      14.90512 |      14.90631 
    -10.90953 |      12.95625 |      13.03299 |       0.00842 |     -12.55447 |      14.99810 |       0.00971 |       0.00000 |      14.90512 |      14.90631 
    -11.03388 |      12.95458 |      13.03131 |       0.01020 |     -12.69756 |      14.99617 |       0.01175 |       0.00000 |      14.90512 |      14.90631 
    -11.14910 |      12.95338 |      13.03012 |       0.01147 |     -12.83016 |      14.99479 |       0.01322 |       0.00000 |      14.90512 |      14.90631 
    -11.25580 |      12.95269 |      13.02942 |       0.01227 |     -12.95294 |      14.99399 |       0.01414 |       0.00000 |      14.90512 |      14.90631 
    -11.35454 |      12.95204 |      13.02876 |       0.01299 |     -13.06657 |      14.99323 |       0.01497 |       0.00000 |      14.90512 |      14.90631 
    -11.44585 |      12.95232 |      13.02904 |       0.01269 |     -13.17165 |      14.99356 |       0.01462 |       0.00000 |      14.90393 |      14.90631 
    -11.53024 |      12.95293 |      13.02966 |       0.01208 |     -13.26876 |      14.99427 |       0.01392 |       0.00000 |      14.90393 |      14.90631 
    -11.60819 |      12.95399 |      13.03073 |       0.01100 |     -13.35847 |      14.99549 |       0.01268 |       0.00000 |      14.90393 |      14.90631 
    -11.68015 |      12.95434 |      13.03108 |       0.01058 |     -13.44128 |      14.99590 |       0.01219 |       0.00000 |      14.90393 |      14.90631 
    -11.74655 |      12.95486 |      13.03160 |       0.01001 |     -13.51769 |      14.99650 |       0.01154 |       0.00000 |      14.90393 |      14.90631 
    -11.80779 |      12.95609 |      13.03284 |       0.00874 |     -13.58816 |      14.99793 |       0.01008 |       0.00000 |      14.90393 |      14.90631 
    -11.86432 |      12.95672 |      13.03347 |       0.00811 |     -13.65321 |      14.99866 |       0.00935 |       0.00000 |      14.90393 |      14.90631 
    -11.91649 |      12.95777 |      13.03453 |       0.00717 |     -13.71325 |      14.99987 |       0.00826 |       0.02353 |      14.90393 |      14.90631 
    -11.96461 |      12.95806 |      13.03482 |       0.00770 |     -13.76863 |      15.00020 |       0.00888 |       0.03137 |      14.90393 |      14.90631 
    -12.00899 |      12.95822 |      13.03498 |       0.00871 |     -13.81970 |      15.00039 |       0.01003 |       0.03137 |      14.90393 |      14.90631 
    -12.04989 |      12.95862 |      13.03538 |       0.00964 |     -13.86677 |      15.00085 |       0.01111 |       0.03137 |      14.90393 |      14.90631 
    -12.08756 |      12.95879 |      13.03555 |       0.01061 |     -13.91012 |      15.00104 |       0.01223 |       0.03137 |      14.90393 |      14.90631 
    -12.12225 |      12.95883 |      13.03559 |       0.01177 |     -13.95004 |      15.00109 |       0.01356 |       0.03137 |      14.90393 |      14.90631 
    -12.15418 |      12.95804 |      13.03480 |       0.01533 |     -13.98678 |      15.00018 |       0.01767 |       0.03137 |      14.90393 |      14.90631 
    -12.18356 |      12.95743 |      13.03419 |       0.02009 |     -14.02059 |      14.99948 |       0.02315 |       0.03137 |      14.90393 |      14.90631 
    -12.21058 |      12.95680 |      13.03355 |       0.02527 |     -14.05168 |      14.99875 |       0.02912 |       0.01569 |      14.90393 |      14.90631 
    -12.23542 |      12.96412 |      13.04092 |       0.02674 |     -14.08027 |      15.00722 |       0.03082 |       0.01569 |      14.90393 |      14.90631 
    -12.25832 |      12.96133 |      13.03811 |       0.04303 |     -14.10663 |      15.00399 |       0.04959 |       0.11373 |      14.90393 |      14.90631 
    -12.27946 |      12.97060 |      13.04744 |       0.03359 |     -14.13095 |      15.01472 |       0.03871 |       0.16078 |      14.90393 |      14.90631 
    -12.29897 |      12.97925 |      13.05614 |       0.03258 |     -14.15341 |      15.02473 |       0.03755 |       0.17647 |      14.90393 |      14.90631 
    -12.31706 |      12.98576 |      13.06268 |       0.02938 |     -14.17422 |      15.03227 |       0.03385 |       0.21569 |      14.90265 |      14.90631 
    -12.33381 |      12.99058 |      13.06754 |       0.02779 |     -14.19350 |      15.03785 |       0.03203 |       0.25098 |      14.90265 |      14.90631 
    -12.34931 |      12.99484 |      13.07182 |       0.03016 |     -14.21134 |      15.04278 |       0.03476 |       0.25882 |      14.90265 |      14.90631 
    -12.36365 |      13.00017 |      13.07718 |       0.03691 |     -14.22783 |      15.04895 |       0.04254 |       0.28235 |      14.90265 |      14.90631 
    -12.37690 |      13.00423 |      13.08127 |       0.04385 |     -14.24308 |      15.05365 |       0.05054 |       0.32157 |      14.90265 |      14.90631 
    -12.38914 |      13.00466 |      13.08170 |       0.04956 |     -14.25717 |      15.05415 |       0.05711 |       0.34510 |      14.90265 |      14.90631 
    -12.40037 |      12.99803 |      13.07502 |       0.05224 |     -14.27009 |      15.04647 |       0.06020 |       0.39608 |      14.90265 |      14.90631 
    -12.41056 |      12.98054 |      13.05743 |       0.03580 |     -14.28182 |      15.02622 |       0.04126 |       0.45882 |      14.90265 |      14.90631 
    -12.41969 |      12.96871 |      13.04553 |       0.02932 |     -14.29233 |      15.01253 |       0.03379 |       0.49412 |      14.90265 |      14.90631 
    -12.42774 |      12.95769 |      13.03445 |       0.02499 |     -14.30159 |      14.99977 |       0.02880 |       0.51765 |      14.90265 |      14.90631 
    -12.43473 |      12.94748 |      13.02418 |       0.02842 |     -14.30963 |      14.98795 |       0.03276 |       0.56471 |      14.90265 |      14.90631 
    -12.44072 |      12.93953 |      13.01618 |       0.03880 |     -14.31653 |      14.97875 |       0.04471 |       0.58039 |      14.90265 |      14.90631 
    -12.44577 |      12.92365 |      13.00021 |       0.04569 |     -14.32234 |      14.96037 |       0.05265 |       0.61176 |      14.90265 |      14.90631 
    -12.44989 |      12.90683 |      12.98328 |       0.06402 |     -14.32708 |      14.94090 |       0.07377 |       0.71227 |      14.90265 |      14.90631 
    -12.45300 |      12.85973 |      12.93591 |       0.10984 |     -14.33066 |      14.88637 |       0.12656 |       0.78431 |      14.90265 |      14.90631 
    -12.45485 |      12.81016 |      12.88604 |       0.16112 |     -14.33278 |      14.82899 |       0.18565 |       0.83922 |      14.90265 |      14.90631 
    -12.45517 |      12.75896 |      12.83454 |       0.22110 |     -14.33315 |      14.76972 |       0.25477 |       0.86275 |      14.90265 |      14.90631 
    -12.45376 |      12.69768 |      12.77289 |       0.29248 |     -14.33153 |      14.69878 |       0.33702 |       0.89804 |      14.90265 |      14.90631 
    -12.45018 |      12.62776 |      12.70256 |       0.37137 |     -14.32741 |      14.61785 |       0.42792 |       0.92157 |      14.90265 |      14.90631 
    -12.44421 |      12.55090 |      12.62525 |       0.45670 |     -14.32054 |      14.52888 |       0.52624 |       0.94510 |      14.90265 |      14.90631 
    -12.43558 |      12.46379 |      12.53762 |       0.55247 |     -14.31061 |      14.42803 |       0.63659 |       0.99216 |      14.90040 |      14.90631 
    -12.42391 |      12.36354 |      12.43678 |       0.66119 |     -14.29718 |      14.31199 |       0.76187 |       1.00000 |      14.90040 |      14.90631 
    -12.40884 |      12.24809 |      12.32065 |       0.78531 |     -14.27984 |      14.17835 |       0.90487 |       1.00000 |      14.90040 |      14.90631 
    -12.38994 |      12.11086 |      12.18260 |       0.93207 |     -14.25809 |      14.01949 |       1.07397 |       1.00000 |      14.90040 |      14.90631 
    -12.36672 |      11.95320 |      12.02401 |       1.10045 |     -14.23137 |      13.83698 |       1.26797 |       1.00000 |      14.90040 |      14.90631 
    -12.33867 |      11.78209 |      11.85189 |       1.28302 |     -14.19909 |      13.63892 |       1.47832 |       1.00000 |      14.90040 |      14.90631 
    -12.30522 |      11.59838 |      11.66709 |       1.47866 |     -14.16059 |      13.42625 |       1.70374 |       1.00000 |      14.90040 |      14.90631 
    -12.26578 |      11.40556 |      11.47313 |       1.68374 |     -14.11520 |      13.20304 |       1.94004 |       1.00000 |      14.90040 |      14.90631 
    -12.21993 |      11.20287 |      11.26923 |       1.89897 |     -14.06244 |      12.96840 |       2.18804 |       1.00000 |      14.90040 |      14.90631 
    -12.16726 |      10.98838 |      11.05348 |       2.12675 |     -14.00183 |      12.72011 |       2.45023 |       1.00000 |      14.90040 |      14.90631 
    -12.10735 |      10.76245 |      10.82621 |       2.36656 |     -13.93289 |      12.45858 |       2.72614 |       1.00000 |      14.90040 |      14.90631 
    -12.03976 |      10.52656 |      10.58892 |       2.61657 |     -13.85511 |      12.18551 |       3.01372 |       1.00000 |      14.90040 |      14.90631 
    -11.96421 |      10.28526 |      10.34619 |       2.87153 |     -13.76817 |      11.90619 |       3.30695 |       1.00000 |      14.90040 |      14.90631 
    -11.88057 |      10.03333 |      10.09277 |       3.13637 |     -13.67192 |      11.61456 |       3.61150 |       1.00000 |      14.90040 |      14.90631 
    -11.78855 |       9.76412 |       9.82197 |       3.41715 |     -13.56603 |      11.30292 |       3.93433 |       1.00000 |      14.90040 |      14.90631 
    -11.68793 |       9.51420 |       9.57057 |       3.64082 |     -13.45023 |      11.01362 |       4.19157 |       1.00000 |      14.90040 |      14.90631 
    -11.57901 |       9.28075 |       9.33574 |       3.92507 |     -13.32489 |      10.74338 |       4.51860 |       1.00000 |      14.90040 |      14.90631 
    -11.46176 |       9.04736 |       9.10097 |       4.21130 |     -13.18996 |      10.47320 |       4.84809 |       1.00000 |      14.90040 |      14.90631 
    -11.33610 |       8.80433 |       8.85650 |       4.43955 |     -13.04535 |      10.19188 |       5.11086 |       1.00000 |      14.90040 |      14.90631 
    -11.20238 |       8.54100 |       8.59161 |       4.72979 |     -12.89147 |       9.88705 |       5.44510 |       1.00000 |      14.90040 |      14.90631 
    -11.06079 |       8.26841 |       8.31740 |       5.02295 |     -12.72853 |       9.57149 |       5.78256 |       1.00000 |      14.89701 |      14.90631 
    -10.91137 |       7.99403 |       8.04140 |       5.31715 |     -12.55658 |       9.25387 |       6.12125 |       1.00000 |      14.89701 |      14.90631 
    -10.75415 |       7.73069 |       7.77650 |       5.60451 |     -12.37566 |       8.94904 |       6.45203 |       1.00000 |      14.89701 |      14.90631 
    -10.58927 |       7.47340 |       7.51769 |       5.89231 |     -12.18591 |       8.65120 |       6.78333 |       1.00000 |      14.89701 |      14.90631 
    -10.41704 |       7.21842 |       7.26120 |       6.18349 |     -11.98772 |       8.35604 |       7.11854 |       1.00000 |      14.89701 |      14.90631 
    -10.23771 |       6.96587 |       7.00716 |       6.47632 |     -11.78134 |       8.06369 |       7.45568 |       1.00000 |      14.89701 |      14.90631 
    -10.05147 |       6.71608 |       6.75589 |       6.77047 |     -11.56702 |       7.77454 |       7.79434 |       1.00000 |      14.89701 |      14.90631 
     -9.85842 |       6.46898 |       6.50732 |       7.06641 |     -11.34486 |       7.48849 |       8.13509 |       1.00000 |      14.89701 |      14.90631 
     -9.65877 |       6.22680 |       6.26371 |       7.35721 |     -11.11511 |       7.20815 |       8.46988 |       1.00000 |      14.89701 |      14.90631 
     -9.45301 |       5.99302 |       6.02855 |       7.63846 |     -10.87833 |       6.93753 |       8.79362 |       1.00000 |      14.89701 |      14.90631 
     -9.24157 |       5.76585 |       5.80003 |       7.91854 |     -10.63501 |       6.67455 |       9.11605 |       1.00000 |      14.89701 |      14.90631 
     -9.02468 |       5.54345 |       5.57631 |       8.19936 |     -10.38542 |       6.41711 |       9.43935 |       1.00000 |      14.89701 |      14.90631 
     -8.80276 |       5.32276 |       5.35431 |       8.48382 |     -10.13004 |       6.16163 |       9.76679 |       1.00000 |      14.89701 |      14.90631 
     -8.57601 |       5.10060 |       5.13084 |       8.76165 |      -9.86910 |       5.90447 |      10.08655 |       1.00000 |      14.89701 |      14.90631 
     -8.34483 |       4.88607 |       4.91504 |       9.03037 |      -9.60306 |       5.65613 |      10.39599 |       1.00000 |      14.89701 |      14.90631 
     -8.11001 |       4.67009 |       4.69778 |       9.29543 |      -9.33284 |       5.40611 |      10.70123 |       1.00000 |      14.89701 |      14.90631 
     -7.87187 |       4.45828 |       4.48471 |       9.55275 |      -9.05879 |       5.16092 |      10.99756 |       1.00000 |      14.89701 |      14.90631 
     -7.63086 |       4.24545 |       4.27062 |       9.79585 |      -8.78144 |       4.91454 |      11.27738 |       1.00000 |      14.89701 |      14.90631 
     -7.38788 |       4.06552 |       4.08963 |      10.03123 |      -8.50183 |       4.70626 |      11.54834 |       1.00000 |      14.89701 |      14.90631 
     -7.14374 |       3.87155 |       3.89451 |      10.26518 |      -8.22087 |       4.48172 |      11.81764 |       1.00000 |      14.89701 |      14.90631 
     -6.89894 |       3.65303 |       3.67470 |      10.49606 |      -7.93916 |       4.22877 |      12.08323 |       1.00000 |      14.89362 |      14.90631 
     -6.65386 |       3.44115 |       3.46156 |      10.72668 |      -7.65712 |       3.98350 |      12.34855 |       1.00000 |      14.89362 |      14.90631 
     -6.40904 |       3.24652 |       3.26577 |      10.94625 |      -7.37539 |       3.75818 |      12.60118 |       1.00000 |      14.89362 |      14.90631 
     -6.16472 |       3.04435 |       3.06241 |      11.14401 |      -7.09423 |       3.52416 |      12.82869 |       1.00000 |      14.89362 |      14.90631 
     -5.92142 |       2.83764 |       2.85448 |      11.32545 |      -6.81425 |       3.28487 |      13.03749 |       1.00000 |      14.89362 |      14.90631 
     -5.68025 |       2.64975 |       2.66548 |      11.43122 |      -6.53672 |       3.06737 |      13.15923 |       1.00000 |      14.89362 |      14.90631 
     -5.44246 |       2.45429 |       2.46885 |      11.50131 |      -6.26308 |       2.84111 |      13.23983 |       1.00000 |      14.89362 |      14.90631 
     -5.20971 |       2.24251 |       2.25582 |      11.55952 |      -5.99523 |       2.59595 |      13.30678 |       1.00000 |      14.89362 |      14.90631 
     -4.98304 |       1.99242 |       2.00425 |      11.70836 |      -5.73438 |       2.30645 |      13.47801 |       1.00000 |      14.89362 |      14.90631 
     -4.76251 |       1.72578 |       1.73602 |      11.85397 |      -5.48060 |       1.99778 |      13.64537 |       1.00000 |      14.89362 |      14.90631 
     -4.54832 |       1.42403 |       1.43248 |      12.01360 |      -5.23411 |       1.64847 |      13.82880 |       1.00000 |      14.89362 |      14.90631 
     -4.34011 |       1.14290 |       1.14968 |      12.11963 |      -4.99451 |       1.32303 |      13.95053 |       1.00000 |      14.89362 |      14.90631 
     -4.13754 |       0.91323 |       0.91865 |      12.19647 |      -4.76139 |       1.05717 |      14.03864 |       1.00000 |      14.89362 |      14.90631 
     -3.94107 |       0.67326 |       0.67725 |      12.36978 |      -4.53531 |       0.77937 |      14.23769 |       1.00000 |      14.89362 |      14.90631 
     -3.74979 |       0.61887 |       0.62254 |      12.55446 |      -4.31518 |       0.71641 |      14.44985 |       1.00000 |      14.89362 |      14.90631 
     -3.56305 |       0.81415 |       0.81898 |      12.75107 |      -4.10029 |       0.94246 |      14.67572 |       1.00000 |      14.89362 |      14.90631 
     -3.37808 |       1.15351 |       1.16035 |      12.95772 |      -3.88742 |       1.33531 |      14.91323 |       1.00000 |      14.89362 |      14.90631 
     -3.19515 |       1.55660 |       1.56584 |      13.17752 |      -3.67691 |       1.80193 |      15.16592 |       1.00000 |      14.89362 |      14.90631 
     -3.01434 |       2.02088 |       2.03287 |      13.40664 |      -3.46884 |       2.33939 |      15.42928 |       1.00000 |      14.89362 |      14.90631 
     -2.83286 |       2.44711 |       2.46164 |      13.56071 |      -3.26000 |       2.83281 |      15.60629 |       1.00000 |      14.89362 |      14.90631 
     -2.65066 |       2.87917 |       2.89626 |      13.59987 |      -3.05033 |       3.33296 |      15.65109 |       1.00000 |      14.89022 |      14.90631 
     -2.46848 |       3.18304 |       3.20194 |      13.53547 |      -2.84068 |       3.68472 |      15.57705 |       1.00000 |      14.89022 |      14.90631 
     -2.28806 |       3.43608 |       3.45649 |      13.49258 |      -2.63306 |       3.97765 |      15.52764 |       1.00000 |      14.89022 |      14.90631 
     -2.10981 |       3.73138 |       3.75354 |      13.52255 |      -2.42793 |       4.31950 |      15.56201 |       1.00000 |      14.89022 |      14.90631 
     -1.93356 |       4.04196 |       4.06596 |      13.74951 |      -2.22510 |       4.67903 |      15.82299 |       1.00000 |      14.89022 |      14.90631 
     -1.75795 |       4.25702 |       4.28230 |      13.84431 |      -2.02302 |       4.92798 |      15.93194 |       1.00000 |      14.89022 |      14.90631 
     -1.58288 |       4.50204 |       4.52877 |      14.01752 |      -1.82155 |       5.21162 |      16.13122 |       1.00000 |      14.89022 |      14.90631 
     -1.40790 |       4.65182 |       4.67944 |      14.15612 |      -1.62019 |       5.38501 |      16.29063 |       1.00000 |      14.89022 |      14.90631 
     -1.23255 |       4.76581 |       4.79411 |      14.25018 |      -1.41840 |       5.51696 |      16.39884 |       1.00000 |      14.89022 |      14.90631 
     -1.05724 |       4.86723 |       4.89613 |      14.41574 |      -1.21665 |       5.63437 |      16.58935 |       1.00000 |      14.89022 |      14.90631 
     -0.88211 |       4.95939 |       4.98884 |      14.54338 |      -1.01511 |       5.74106 |      16.73623 |       1.00000 |      14.89022 |      14.90631 
     -0.70737 |       5.10184 |       5.13213 |      14.69165 |      -0.81402 |       5.90595 |      16.90685 |       1.00000 |      14.89022 |      14.90631 
     -0.53353 |       5.07836 |       5.10851 |      14.68987 |      -0.61398 |       5.87877 |      16.90481 |       1.00000 |      14.89022 |      14.90631 
     -0.36209 |       5.16315 |       5.19381 |      14.89943 |      -0.41668 |       5.97693 |      17.14597 |       1.00000 |      14.89022 |      14.90631 
     -0.19317 |       5.08044 |       5.11061 |      14.94175 |      -0.22230 |       5.88118 |      17.19469 |       1.00000 |      14.89022 |      14.90631 
     -0.02818 |       5.00350 |       5.03321 |      15.07547 |      -0.03243 |       5.79212 |      17.34860 |       1.00000 |      14.89022 |      14.90631 
      0.13263 |       4.94086 |       4.97020 |      15.28859 |       0.15262 |       5.71960 |      17.59389 |       1.00000 |      14.89022 |      14.90631 
      0.28950 |       4.88041 |       4.90939 |      15.51597 |       0.33315 |       5.64962 |      17.85559 |       1.00000 |      14.89022 |      14.90631 
      0.44338 |       4.83344 |       4.86215 |      15.75143 |       0.51023 |       5.59526 |      18.12659 |       1.00000 |      14.89022 |      14.90631 
      0.59495 |       4.80045 |       4.82896 |      15.99328 |       0.68465 |       5.55707 |      18.40493 |       1.00000 |      14.89022 |      14.90631 
      0.74472 |       4.78432 |       4.81274 |      16.23840 |       0.85701 |       5.53840 |      18.68705 |       1.00000 |      14.88852 |      14.90461 
      0.89305 |       4.77703 |       4.80541 |      16.48810 |       1.02771 |       5.52996 |      18.97447 |       1.00000 |      14.88852 |      14.90461 
      1.04054 |       4.81936 |       4.84798 |      16.74927 |       1.19743 |       5.57895 |      19.27512 |       1.00000 |      14.88852 |      14.90461 
      1.18790 |       4.89260 |       4.92166 |      17.01677 |       1.36701 |       5.66374 |      19.58310 |       1.00000 |      14.88852 |      14.90461 
      1.33587 |       4.99228 |       5.02194 |      17.28547 |       1.53729 |       5.77914 |      19.89246 |       1.00000 |      14.88852 |      14.90461 
      1.48505 |       5.11815 |       5.14854 |      17.55643 |       1.70896 |       5.92484 |      20.20442 |       1.00000 |      14.88852 |      14.90461 
      1.63611 |       5.25697 |       5.28819 |      17.82563 |       1.88280 |       6.08554 |      20.51435 |       1.00000 |      14.88852 |      14.90461 
      1.78958 |       5.40849 |       5.44061 |      18.09152 |       2.05941 |       6.26094 |      20.82048 |       1.00000 |      14.88852 |      14.90461 
      1.94582 |       5.57491 |       5.60803 |      18.35603 |       2.23921 |       6.45361 |      21.12515 |       1.00000 |      14.88852 |      14.90461 
      2.10505 |       5.75635 |       5.79054 |      18.61950 |       2.42245 |       6.66364 |      21.42873 |       1.00000 |      14.88852 |      14.90461 
      2.26751 |       5.95458 |       5.98995 |      18.88393 |       2.60940 |       6.89311 |      21.73344 |       1.00000 |      14.88852 |      14.90461 
      2.43356 |       6.16447 |       6.20109 |      19.14664 |       2.80050 |       7.13609 |      22.03610 |       1.00000 |      14.88852 |      14.90461 
      2.60334 |       6.38323 |       6.42116 |      19.40665 |       2.99587 |       7.38934 |      22.33560 |       1.00000 |      14.88852 |      14.90461 
      2.77710 |       6.61166 |       6.65094 |      19.66558 |       3.19583 |       7.65377 |      22.63391 |       1.00000 |      14.88852 |      14.90461 
      2.95481 |       6.84909 |       6.88979 |      19.92404 |       3.40034 |       7.92863 |      22.93159 |       1.00000 |      14.88852 |      14.90461 
      3.13656 |       7.09343 |       7.13559 |      20.18120 |       3.60948 |       8.21149 |      23.22774 |       1.00000 |      14.88852 |      14.90461 
      3.32227 |       7.34445 |       7.38810 |      20.43797 |       3.82320 |       8.50207 |      23.52339 |       1.00000 |      14.88852 |      14.90461 
      3.51191 |       7.59999 |       7.64516 |      20.69312 |       4.04144 |       8.79790 |      23.81718 |       1.00000 |      14.88852 |      14.90461 
      3.70544 |       7.86021 |       7.90693 |      20.94743 |       4.26415 |       9.09914 |      24.11002 |       1.00000 |      14.88852 |      14.90461 
      3.90278 |       8.12488 |       8.17318 |      21.20121 |       4.49124 |       9.40553 |      24.40228 |       1.00000 |      14.88852 |      14.90461 
      4.10385 |       8.39342 |       8.44332 |      21.45415 |       4.72262 |       9.71640 |      24.69368 |       1.00000 |      14.88852 |      14.90122 
      4.30858 |       8.66604 |       8.71757 |      21.70759 |       4.95823 |      10.03200 |      24.98493 |       1.00000 |      14.88852 |      14.90122 
      4.51687 |       8.94000 |       8.99316 |      21.95730 |       5.19793 |      10.34914 |      25.27248 |       1.00000 |      14.88852 |      14.90122 
      4.72866 |       9.21630 |       9.27111 |      22.20726 |       5.44165 |      10.66900 |      25.55984 |       1.00000 |      14.88852 |      14.90122 
      4.94379 |       9.49972 |       9.55622 |      22.46119 |       5.68921 |      10.99710 |      25.85126 |       1.00000 |      14.88852 |      14.90122 
      5.16218 |       9.78487 |       9.84306 |      22.71211 |       5.94053 |      11.32719 |      26.14012 |       1.00000 |      14.88852 |      14.90122 
      5.38374 |      10.07216 |      10.13207 |      22.96196 |       6.19549 |      11.65978 |      26.42787 |       1.00000 |      14.88852 |      14.90122 
      5.60838 |      10.36096 |      10.42259 |      23.20992 |       6.45401 |      11.99410 |      26.71349 |       1.00000 |      14.88852 |      14.90122 
      5.83600 |      10.65057 |      10.71393 |      23.45603 |       6.71595 |      12.32937 |      26.99694 |       1.00000 |      14.88852 |      14.90122 
      6.06660 |      10.94276 |      11.00786 |      23.70150 |       6.98132 |      12.66762 |      27.27951 |       1.00000 |      14.88852 |      14.90122 
      6.30003 |      11.23691 |      11.30377 |      23.94534 |       7.24994 |      13.00815 |      27.56020 |       1.00000 |      14.88852 |      14.90122 
      6.53618 |      11.53296 |      11.60159 |      24.18739 |       7.52170 |      13.35087 |      27.83889 |       1.00000 |      14.88852 |      14.90122 
      6.77497 |      11.83055 |      11.90096 |      24.42711 |       7.79649 |      13.69538 |      28.11504 |       1.00000 |      14.88852 |      14.90122 
      7.01625 |      12.12983 |      12.20203 |      24.66476 |       8.07415 |      14.04184 |      28.38896 |       1.00000 |      14.88852 |      14.90122 
      7.25999 |      12.42998 |      12.50397 |      24.90039 |       8.35465 |      14.38931 |      28.66047 |       1.00000 |      14.88852 |      14.90122 
